cd_geocmu,nome
5200050,Abadia de Goiás
3100104,Abadia Dos Dourados
3100104,Abadia Dos Dourados
5200100,Abadiânia
3100203,Abaeté
2300101,Abaiara
2900108,Abaíra
2900207,Abaré
1700251,Abreulândia
2900306,Acajutiba
2900306,Acajutiba
2300150,Acarape
2300200,Acaraú
2400109,Acari
2200053,Acauã
2200053,Acauã
2300309,Acopiara
5100102,Acorizal
5200134,Acreúna
2400208,Açu
5200159,Adelândia
2900355,Adustina
2600104,Afogados Da Ingazeira
2400307,Afonso Bezerra
2100105,Afonso Cunha
2600203,Afrânio
2600203,Afrânio
2600302,Agrestina
2600302,Agrestina
2200103,Agricolândia
5100201,Água Boa
2500106,Água Branca
2700102,Água Branca
2200202,Água Branca
5000203,Água Clara
3100708,Água Comprida
2100154,Água Doce Do Maranhão
2900405,Água Fria
2900405,Água Fria
5200175,Água Fria De Goiás
5200209,Água Limpa
5200209,Água Limpa
2400406,Água Nova
3500303,Aguaí
3500303,Aguaí
3100807,Aguanil
3100807,Aguanil
2600500,Águas Belas
3500550,Águas De Santa Bárbara
3500550,Águas De Santa Bárbara
3500600,Águas De São Pedro
5200258,Águas Lindas De Goiás
3500709,Agudos
2500205,Aguiar
1700301,Aguiarnópolis
2300408,Aiuaba
2500304,Alagoa Grande
2500403,Alagoa Nova
2500502,Alagoinha
2600609,Alagoinha
2200251,Alagoinha Do Piauí
2900702,Alagoinhas
2900702,Alagoinhas
3500758,Alambari
3500758,Alambari
2300507,Alcântaras
2500536,Alcantil
5000252,Alcinópolis
2100303,Aldeias Altas
2200277,Alegrete Do Piauí
2400505,Alexandria
5200308,Alexânia
2500577,Algodão De Jandaíra
2600708,Aliança
2600708,Aliança
1700350,Aliança Do Tocantins
1700400,Almas
2400604,Almino Afonso
5200506,Aloândia
3101904,Alpinópolis
3101904,Alpinópolis
3500907,Altair
3500907,Altair
2300606,Altaneira
2600807,Altinho
2600807,Altinho
3501004,Altinópolis
2100436,Alto Alegre Do Maranhão
5100300,Alto Araguaia
5100359,Alto Boa Vista
5100359,Alto Boa Vista
2400703,Alto Do Rodrigues
5100409,Alto Garças
5200555,Alto Horizonte
2200301,Alto Longá
5100508,Alto Paraguai
5100508,Alto Paraguai
5200605,Alto Paraíso de Goiás
2100501,Alto Parnaíba
2300705,Alto Santo
5100607,Alto Taquari
2200400,Altos
2200400,Altos
3501202,Álvares Florence
3501202,Álvares Florence
3501509,Alvinlândia
3501509,Alvinlândia
1700707,Alvorada
2200459,Alvorada Do Gurguéia
2200459,Alvorada Do Gurguéia
5200803,Alvorada Do Norte
5200829,Amaralina
2200509,Amarante
2200509,Amarante
2100600,Amarante Do Maranhão
2100600,Amarante Do Maranhão
2901155,América Dourada
3501608,Americana
3501608,Americana
5200852,Americano Do Brasil
3501707,Américo Brasiliense
3501806,Américo De Campos
2300754,Amontada
5200902,Amorinópolis
2500734,Amparo
2901205,Anagé
2901205,Anagé
3502002,Analândia
1701002,Ananás
1701002,Ananás
5201108,Anápolis
2100808,Anapurus
5000708,Anastácio
5000807,Anaurilândia
